botName,type,description,symbol,status,quantity,daysInTrade,openPrice,closePrice,premium,pnl,ror,returnPct,risk,ev,alpha,highReturnPct,lowReturnPct,highReturnPctDate,lowReturnPctDate,expiration,openDate,closeDate,tags,underlyingOpen,underlyingClose
"ORB-60","shortputspread","-7,530 put, +7,520 put","SPX","closed",1,0,0.8,1.95,-80,-115,-0.125,-1.4375,920,"12.40787","0.013458","0.375","-1.4375","2026-07-16 11:40:00","2026-07-16 12:15:00","2026-07-16 16:00:00","2026-07-16 10:35:01","2026-07-16 12:15:00","test a",7568.07,7545.6
"ORB-60","shortcallspread","-7,585 call, +7,595 call","SPX","closed",1,0,1.3,0.65,-130,65,0.074713,0.5,870,"-3.75679","-0.004318","0.5","-0.09230769","2026-07-15 11:16:00","2026-07-15 10:49:00","2026-07-15 16:00:00","2026-07-15 10:45:07","2026-07-15 11:16:01","test b",7558.82,7553.79
"ORB-60","shortcallspread","-7,560 call, +7,570 call","SPX","closed",1,0,2.4,1.85,-240,55,0.072368,0.229167,760,"98.76214","0.12995","0.24166667","-0.41666667","2026-07-10 10:59:00","2026-07-10 10:39:00","2026-07-10 16:00:00","2026-07-10 10:35:03","2026-07-10 10:59:00","test b",7534.69,7537.81
"ORB-60","shortputspread","-7,480 put, +7,470 put","SPX","closed",1,0,0.8,0.45,-80,35,0.038043,0.4375,920,"32.48176","0.03523","0.4375","0.025","2026-07-09 11:23:00","2026-07-09 11:15:02","2026-07-09 16:00:00","2026-07-09 11:15:02","2026-07-09 11:23:00","test a",7518.79,7524.57
"ORB-60","shortcallspread","-7,480 call, +7,490 call","SPX","closed",1,0,1.9,1.2,-190,70,0.08642,0.368421,810,"97.67901","0.120146","0.36842105","-0.18421053","2026-07-08 10:50:00","2026-07-08 10:42:00","2026-07-08 16:00:00","2026-07-08 10:40:03","2026-07-08 10:50:00","test b",7448.04,7439.44
"ORB-60","shortcallspread","-7,540 call, +7,550 call","SPX","closed",1,0,0.75,0.45,-75,30,0.032432,0.4,925,"-22.79606","-0.024565","0.4","0","2026-07-07 12:37:00","2026-07-07 12:31:00","2026-07-07 16:00:00","2026-07-07 12:30:04","2026-07-07 12:37:00","test b",7515.53,7511.01
"ORB-60","shortputspread","-7,500 put, +7,490 put","SPX","closed",1,0,1.1,0.55,-110,55,0.061798,0.5,890,"-37.62947","-0.042138","0.5","-0.24545455","2026-07-06 11:00:00","2026-07-06 10:43:00","2026-07-06 16:00:00","2026-07-06 10:35:01","2026-07-06 11:00:01","test a",7524.69,7529.66
"ORB-60","shortputspread","-7,435 put, +7,425 put","SPX","closed",1,0,0.95,0.55,-95,40,0.044199,0.421053,905,"33.28617","0.036659","0.44210526","-0.94736842","2026-06-30 11:27:00","2026-06-30 10:58:00","2026-06-30 16:00:00","2026-06-30 10:40:01","2026-06-30 11:27:00","test a",7473.27,7481.13
"ORB-60","shortputspread","-7,365 put, +7,355 put","SPX","closed",1,0,1,0.5,-100,50,0.055556,0.5,900,"68.21574","0.075795","0.5","0.08","2026-06-24 10:59:00","2026-06-24 10:50:00","2026-06-24 16:00:00","2026-06-24 10:50:00","2026-06-24 10:59:00","test a",7411.07,7421.28
"ORB-60","shortcallspread","-7,535 call, +7,545 call","SPX","closed",1,0,0.85,0.5,-85,35,0.038251,0.411765,915,"63.10365","0.068966","0.41176471","-0.02352941","2026-06-22 10:44:00","2026-06-22 10:36:00","2026-06-22 16:00:00","2026-06-22 10:35:03","2026-06-22 10:44:00","test b",7483.7,7477.29
