price,hmm_state,hmm_label,strike_index,strike,cg,pg,total,coi,poi,cvol,pvol,abs,pcmag,cotm,potm,net,Positive Net Gex,Sentiment,Ratio,Total Absolute GEX,Total OI,Total Volume,proximity weights,key strike,Key Abs,Key OI ,Key Volume,GEX Share,OI Share,Volume Share,Distance ,Proximity ,KCS,Key Abs for Dominance,Dominance
7483.24,,,0,7385,16496073.61,-69721269.05,-53225195.44,309,1306,,502,86217342.66,-4.23,-1.31,1.31,-53225195.44,0,55,2.208099809,32377194975,96297,102259,1694302.833,7500,3102856118,5519,9233,0.09583461818,0.05731227349,0.09029034119,16.76,0.5115039353,4.254130116,3102856118,9.583461818
7483.24,,,1,7390,11000565.98,-48437976,-37437410.02,186,819,,395,59438541.98,-4.4,-1.25,1.25,-37437410.02,0,55,2.208099809,32290977632,94682,101757,1426669.734,7500,3102856118,5519,9233,0.09583461818,0.05731227349,0.09029034119,16.76,0.5115039353,4.254130116,3102856118,9.583461818
7483.24,,,2,7395,7638675.59,-47478319.86,-39839644.27,116,721,35,540,55116995.45,-6.22,-1.18,1.18,-39839644.27,0,55,2.208099809,32231539090,93677,101362,1615845.123,7500,3102856118,5519,9233,0.09583461818,0.05731227349,0.09029034119,16.76,0.5115039353,4.254130116,3102856118,9.583461818
7483.24,,,3,7400,32329250.2,-152482631.4,-120153381.2,441,2080,16,2080,184811881.6,-4.72,-1.11,1.11,-120153381.2,0,55,2.208099809,32176422095,92840,100787,6617637.62,7500,3102856118,5519,9233,0.09583461818,0.05731227349,0.09029034119,16.76,0.5115039353,4.254130116,3102856118,9.583461818
7483.24,,,4,7405,9913156.35,-61035549.45,-51122393.1,121,745,35,502,70948705.8,-6.16,-1.05,1.05,-51122393.1,0,55,2.208099809,31991610213,90319,98691,3102962.072,7500,3102856118,5519,9233,0.09583461818,0.05731227349,0.09029034119,16.76,0.5115039353,4.254130116,3102856118,9.583461818
7483.24,,,5,7410,26663577.11,-76520813.77,-49857236.66,292,838,50,861,103184390.9,-2.87,-0.98,0.98,-49857236.66,0,55,2.208099809,31920661508,89453,98154,5511945.193,7500,3102856118,5519,9233,0.09583461818,0.05731227349,0.09029034119,16.76,0.5115039353,4.254130116,3102856118,9.583461818
7483.24,,,6,7415,30205502.58,-83192259.64,-52986757.06,297,818,96,985,113397762.2,-2.75,-0.91,0.91,-52986757.06,0,55,2.208099809,31817477117,88323,97243,7398680.382,7500,3102856118,5519,9233,0.09583461818,0.05731227349,0.09029034119,16.76,0.5115039353,4.254130116,3102856118,9.583461818
7483.24,,,7,7420,40937812.92,-214267828.6,-173330015.7,359,1879,3,1200,255205641.5,-5.23,-0.84,0.85,-173330015.7,0,55,2.208099809,31704079354,87208,96162,20337564.77,7500,3102856118,5519,9233,0.09583461818,0.05731227349,0.09029034119,16.76,0.5115039353,4.254130116,3102856118,9.583461818
7483.24,,,8,7425,37769714.59,-369913522.3,-332143807.7,296,2899,34,1519,407683236.9,-9.79,-0.78,0.78,-332143807.7,0,55,2.208099809,31448873713,84970,94959,39681714.62,7500,3102856118,5519,9233,0.09583461818,0.05731227349,0.09029034119,16.76,0.5115039353,4.254130116,3102856118,9.583461818
7483.24,,,9,7430,36306419.18,-365342241.6,-329035822.5,255,2566,94,1669,401648660.8,-10.06,-0.71,0.71,-329035822.5,0,55,2.208099809,31041190476,81775,93406,47749936.09,7500,3102856118,5519,9233,0.09583461818,0.05731227349,0.09029034119,16.76,0.5115039353,4.254130116,3102856118,9.583461818
