bot_name,bot_status,bot_account,bot_group,scanner_name,scanner_index,category,path,name,value,routine_version,routine_updated
"ORB-60","on","Paper Trading","ORB","ORB-60 Call Spread - high/low price","4","Entry Criteria","ORB-60 Call Spread - high/low price/Decision[Bot can open a new position and Today is Mon-Fri]","Bot can open a new position","","29","2026-06-02T14:30:10.852Z"
"ORB-60","on","Paper Trading","ORB","ORB-60 Call Spread - high/low price","4","Entry Criteria","ORB-60 Call Spread - high/low price/Decision[Bot can open a new position and Today is Mon-Fri]","Today is Mon-Fri","","29","2026-06-02T14:30:10.852Z"
"ORB-60","on","Paper Trading","ORB","ORB-60 Call Spread - high/low price","4","Entry Criteria","ORB-60 Call Spread - high/low price/Decision[Market closes at 4:00PM today and NOT FOMC Meeting scheduled today...]","Market closes at 4:00PM today","","29","2026-06-02T14:30:10.852Z"
"ORB-60","on","Paper Trading","ORB","ORB-60 Call Spread - high/low price","4","Entry Criteria","ORB-60 Call Spread - high/low price/Decision[Market closes at 4:00PM today and NOT FOMC Meeting scheduled today...]","NOT FOMC Meeting scheduled today","","29","2026-06-02T14:30:10.852Z"
"ORB-60","on","Paper Trading","ORB","ORB-60 Call Spread - high/low price","4","Entry Criteria","ORB-60 Call Spread - high/low price/Decision[Market closes at 4:00PM today and NOT FOMC Meeting scheduled today...]","SPX low is below 60 minute opening range low","","29","2026-06-02T14:30:10.852Z"
"ORB-60","on","Paper Trading","ORB","ORB-60 Call Spread - high/low price","4","Entry Criteria","ORB-60 Call Spread - high/low price/Decision[Market closes at 4:00PM today and NOT FOMC Meeting scheduled today...]","NOT SPX high is above 60 minute opening range high","","29","2026-06-02T14:30:10.852Z"
"ORB-60","on","Paper Trading","ORB","ORB-60 Call Spread - high/low price","4","Entry Criteria","ORB-60 Call Spread - high/low price/Decision[Market closes at 4:00PM today and NOT FOMC Meeting scheduled today...]","NOT CPI Release scheduled today","","29","2026-06-02T14:30:10.852Z"
"ORB-60","on","Paper Trading","ORB","ORB-60 Call Spread - high/low price","4","Entry Criteria","ORB-60 Call Spread - high/low price/Decision[Market closes at 4:00PM today and NOT FOMC Meeting scheduled today...]","NOT Nonfarm Payrolls scheduled today","","29","2026-06-02T14:30:10.852Z"
"ORB-60","on","Paper Trading","ORB","ORB-60 Call Spread - high/low price","4","Position Criteria","ORB-60 Call Spread - high/low price/Action[Open SPX Short Call Spread]/Filter","Max profit 70","","29","2026-06-02T14:30:10.852Z"
"ORB-60","on","Paper Trading","ORB","ORB-60 Call Spread - high/low price","4","Entry Criteria","ORB-60 Call Spread - high/low price/Action[Open SPX Short Call Spread]/entry","{}","","29","2026-06-02T14:30:10.852Z"
"ORB-60","on","Paper Trading","ORB","ORB-60 Call Spread - high/low price","4","Position Details","ORB-60 Call Spread - high/low price/Action[Open SPX Short Call Spread]/Symbol","Symbol","SPX","29","2026-06-02T14:30:10.852Z"
"ORB-60","on","Paper Trading","ORB","ORB-60 Call Spread - high/low price","4","Position Details","ORB-60 Call Spread - high/low price/Action[Open SPX Short Call Spread]/Position Size","Position Size","1 contract","29","2026-06-02T14:30:10.852Z"
"ORB-60","on","Paper Trading","ORB","ORB-60 Call Spread - high/low price","4","Position Details","ORB-60 Call Spread - high/low price/Action[Open SPX Short Call Spread]/Price","Price","50% of bid/ask","29","2026-06-02T14:30:10.852Z"
"ORB-60","on","Paper Trading","ORB","ORB-60 Call Spread - high/low price","4","Position Details","ORB-60 Call Spread - high/low price/Action[Open SPX Short Call Spread]/Expiration","Expiration","exactly 0 days","29","2026-06-02T14:30:10.852Z"
"ORB-60","on","Paper Trading","ORB","ORB-60 Call Spread - high/low price","4","Position Details","ORB-60 Call Spread - high/low price/Action[Open SPX Short Call Spread]/Exit Options","Exit Options","Profits: 40%, Stop Loss: 130%, Profits: $50","29","2026-06-02T14:30:10.852Z"
"ORB-60","on","Paper Trading","ORB","ORB-60 Call Spread - high/low price","4","Position Details","ORB-60 Call Spread - high/low price/Action[Open SPX Short Call Spread]/Tags","Tags","test b","29","2026-06-02T14:30:10.852Z"
