bot_name,bot_status,bot_account,bot_group,scanner_name,scanner_index,category,path,name,value,routine_version,routine_updated
"ORB-60","on","Paper Trading","ORB","ORB-60 Put Spread - high/low price","3","Entry Criteria","ORB-60 Put Spread - high/low price/Decision[Bot can open a new position and Today is Mon-Fri]","Bot can open a new position","","33","2026-06-02T14:29:56.948Z"
"ORB-60","on","Paper Trading","ORB","ORB-60 Put Spread - high/low price","3","Entry Criteria","ORB-60 Put Spread - high/low price/Decision[Bot can open a new position and Today is Mon-Fri]","Today is Mon-Fri","","33","2026-06-02T14:29:56.948Z"
"ORB-60","on","Paper Trading","ORB","ORB-60 Put Spread - high/low price","3","Entry Criteria","ORB-60 Put Spread - high/low price/Decision[Market closes at 4:00PM today and NOT FOMC Meeting scheduled today...]","Market closes at 4:00PM today","","33","2026-06-02T14:29:56.948Z"
"ORB-60","on","Paper Trading","ORB","ORB-60 Put Spread - high/low price","3","Entry Criteria","ORB-60 Put Spread - high/low price/Decision[Market closes at 4:00PM today and NOT FOMC Meeting scheduled today...]","NOT FOMC Meeting scheduled today","","33","2026-06-02T14:29:56.948Z"
"ORB-60","on","Paper Trading","ORB","ORB-60 Put Spread - high/low price","3","Entry Criteria","ORB-60 Put Spread - high/low price/Decision[Market closes at 4:00PM today and NOT FOMC Meeting scheduled today...]","SPX high is above 60 minute opening range high","","33","2026-06-02T14:29:56.948Z"
"ORB-60","on","Paper Trading","ORB","ORB-60 Put Spread - high/low price","3","Entry Criteria","ORB-60 Put Spread - high/low price/Decision[Market closes at 4:00PM today and NOT FOMC Meeting scheduled today...]","NOT SPX low is below 60 minute opening range low","","33","2026-06-02T14:29:56.948Z"
"ORB-60","on","Paper Trading","ORB","ORB-60 Put Spread - high/low price","3","Entry Criteria","ORB-60 Put Spread - high/low price/Decision[Market closes at 4:00PM today and NOT FOMC Meeting scheduled today...]","NOT CPI Release scheduled today","","33","2026-06-02T14:29:56.948Z"
"ORB-60","on","Paper Trading","ORB","ORB-60 Put Spread - high/low price","3","Entry Criteria","ORB-60 Put Spread - high/low price/Decision[Market closes at 4:00PM today and NOT FOMC Meeting scheduled today...]","NOT Nonfarm Payrolls scheduled today","","33","2026-06-02T14:29:56.948Z"
"ORB-60","on","Paper Trading","ORB","ORB-60 Put Spread - high/low price","3","Position Criteria","ORB-60 Put Spread - high/low price/Action[Open SPX Short Put Spread]/Filter","Max profit 70","","33","2026-06-02T14:29:56.948Z"
"ORB-60","on","Paper Trading","ORB","ORB-60 Put Spread - high/low price","3","Entry Criteria","ORB-60 Put Spread - high/low price/Action[Open SPX Short Put Spread]/entry","{}","","33","2026-06-02T14:29:56.948Z"
"ORB-60","on","Paper Trading","ORB","ORB-60 Put Spread - high/low price","3","Position Details","ORB-60 Put Spread - high/low price/Action[Open SPX Short Put Spread]/Symbol","Symbol","SPX","33","2026-06-02T14:29:56.948Z"
"ORB-60","on","Paper Trading","ORB","ORB-60 Put Spread - high/low price","3","Position Details","ORB-60 Put Spread - high/low price/Action[Open SPX Short Put Spread]/Position Size","Position Size","1 contract","33","2026-06-02T14:29:56.948Z"
"ORB-60","on","Paper Trading","ORB","ORB-60 Put Spread - high/low price","3","Position Details","ORB-60 Put Spread - high/low price/Action[Open SPX Short Put Spread]/Price","Price","50% of bid/ask","33","2026-06-02T14:29:56.948Z"
"ORB-60","on","Paper Trading","ORB","ORB-60 Put Spread - high/low price","3","Position Details","ORB-60 Put Spread - high/low price/Action[Open SPX Short Put Spread]/Expiration","Expiration","exactly 0 days","33","2026-06-02T14:29:56.948Z"
"ORB-60","on","Paper Trading","ORB","ORB-60 Put Spread - high/low price","3","Position Details","ORB-60 Put Spread - high/low price/Action[Open SPX Short Put Spread]/Long Put","Long Put","$10.00 below short put leg exactly","33","2026-06-02T14:29:56.948Z"
"ORB-60","on","Paper Trading","ORB","ORB-60 Put Spread - high/low price","3","Position Details","ORB-60 Put Spread - high/low price/Action[Open SPX Short Put Spread]/Short Put","Short Put","$0.01 below 60 minute opening range low or lower","33","2026-06-02T14:29:56.948Z"
"ORB-60","on","Paper Trading","ORB","ORB-60 Put Spread - high/low price","3","Position Details","ORB-60 Put Spread - high/low price/Action[Open SPX Short Put Spread]/Exit Options","Exit Options","Profits: 40%, Stop Loss: 130%, Profits: $50","33","2026-06-02T14:29:56.948Z"
"ORB-60","on","Paper Trading","ORB","ORB-60 Put Spread - high/low price","3","Position Details","ORB-60 Put Spread - high/low price/Action[Open SPX Short Put Spread]/Tags","Tags","test a","33","2026-06-02T14:29:56.948Z"
