ndate,ntime,symbol,price,source,hmm_state,hmm_label,strike_index,strike,cg,pg,total,coi,poi,cvol,pvol,abs,pcmag,cotm,potm,net
20260706,701,SPX,7483.24,gex,,,0,7385,16496073.61,-69721269.05,-53225195.44,309,1306,,502,86217342.66,-4.23,-1.31,1.31,-53225195.44
20260706,701,SPX,7483.24,gex,,,1,7390,11000565.98,-48437976,-37437410.02,186,819,,395,59438541.98,-4.4,-1.25,1.25,-37437410.02
20260706,701,SPX,7483.24,gex,,,2,7395,7638675.59,-47478319.86,-39839644.27,116,721,35,540,55116995.45,-6.22,-1.18,1.18,-39839644.27
20260706,701,SPX,7483.24,gex,,,3,7400,32329250.2,-152482631.35,-120153381.15,441,2080,16,2080,184811881.55,-4.72,-1.11,1.11,-120153381.15
20260706,701,SPX,7483.24,gex,,,4,7405,9913156.35,-61035549.45,-51122393.1,121,745,35,502,70948705.8,-6.16,-1.05,1.05,-51122393.1
20260706,701,SPX,7483.24,gex,,,5,7410,26663577.11,-76520813.77,-49857236.66,292,838,50,861,103184390.88,-2.87,-0.98,0.98,-49857236.66
20260706,701,SPX,7483.24,gex,,,6,7415,30205502.58,-83192259.64,-52986757.06,297,818,96,985,113397762.22,-2.75,-0.91,0.91,-52986757.06
20260706,701,SPX,7483.24,gex,,,7,7420,40937812.92,-214267828.61,-173330015.69,359,1879,3,1200,255205641.53,-5.23,-0.84,0.85,-173330015.69
20260706,701,SPX,7483.24,gex,,,8,7425,37769714.59,-369913522.28,-332143807.69,296,2899,34,1519,407683236.87,-9.79,-0.78,0.78,-332143807.69
20260706,701,SPX,7483.24,gex,,,9,7430,36306419.18,-365342241.64,-329035822.46,255,2566,94,1669,401648660.82,-10.06,-0.71,0.71,-329035822.46
20260706,701,SPX,7483.24,gex,,,10,7435,34534359.61,-142434340.31,-107899980.7,217,895,96,1430,176968699.92,-4.12,-0.64,0.64,-107899980.7
20260706,701,SPX,7483.24,gex,,,11,7440,59917792.22,-174775043.79,-114857251.57,337,983,71,2053,234692836.01,-2.92,-0.58,0.58,-114857251.57
20260706,701,SPX,7483.24,gex,,,12,7445,80417119.18,-234913062.42,-154495943.24,406,1186,11,1313,315330181.6,-2.92,-0.51,0.51,-154495943.24
20260706,701,SPX,7483.24,gex,,,13,7450,501327828.42,-792115605.77,-290787777.35,2274,3593,217,3867,1293443434.19,-1.58,-0.44,0.44,-290787777.35
20260706,701,SPX,7483.24,gex,,,14,7455,151288352.61,-211362333.79,-60073981.18,617,862,98,1218,362650686.4,-1.4,-0.38,0.38,-60073981.18
20260706,701,SPX,7483.24,gex,,,15,7460,380478808.72,-241578169.89,138900638.83,1397,887,62,2456,622056978.61,1.58,-0.31,0.31,138900638.83
20260706,701,SPX,7483.24,gex,,,16,7465,150767028.66,-156507657.01,-5740628.35,499,518,184,1556,307274685.67,-1.04,-0.24,0.24,-5740628.35
20260706,701,SPX,7483.24,gex,,,17,7470,345826863.14,-529442866.87,-183616003.73,1034,1583,258,1641,875269730.01,-1.53,-0.18,0.18,-183616003.73
20260706,701,SPX,7483.24,gex,,,18,7475,793710591.36,-868386669.36,-74676078,2147,2349,306,2301,1662097260.72,-1.09,-0.11,0.11,-74676078
20260706,701,SPX,7483.24,gex,,,19,7480,625025785.3,-270259353.28,354766432.02,1531,662,868,3717,895285138.58,2.31,-0.04,0.04,354766432.02
20260706,701,SPX,7483.24,gex,,,20,7485,349693196.81,-289246869.57,60446327.24,781,646,1260,2603,638940066.38,1.21,0.02,-0.02,60446327.24
20260706,701,SPX,7483.24,gex,,,21,7490,753678639.88,-319462494.45,434216145.43,1550,657,1062,1569,1073141134.33,2.36,0.09,-0.09,434216145.43
20260706,701,SPX,7483.24,gex,,,22,7495,587303145.08,-270738848.94,316564296.14,1115,514,956,1550,858041994.02,2.17,0.16,-0.16,316564296.14
20260706,701,SPX,7483.24,gex,,,23,7500,1855304437.39,-1247551680.78,607752756.61,3300,2219,6324,2909,3102856118.17,1.49,0.22,-0.22,607752756.61
20260706,701,SPX,7483.24,gex,,,24,7505,654580720.09,-268591545.47,385989174.62,1104,453,3178,774,923172265.56,2.44,0.29,-0.29,385989174.62
20260706,701,SPX,7483.24,gex,,,25,7510,822593772.23,-250434103.99,572159668.24,1350,411,2647,1066,1073027876.22,3.28,0.36,-0.36,572159668.24
20260706,701,SPX,7483.24,gex,,,26,7515,2139785053.18,-167547457.21,1972237595.97,3461,271,2539,650,2307332510.39,12.77,0.42,-0.42,1972237595.97
20260706,701,SPX,7483.24,gex,,,27,7520,2977348693.69,-199585197.53,2777763496.16,4893,328,3806,397,3176933891.22,14.92,0.49,-0.49,2777763496.16
20260706,701,SPX,7483.24,gex,,,28,7525,1300829522.33,-681053410.75,619776111.58,2229,1167,3541,233,1981882933.08,1.91,0.56,-0.56,619776111.58
20260706,701,SPX,7483.24,gex,,,29,7530,902275811.94,-298200511.36,604075300.58,1646,544,3556,158,1200476323.3,3.03,0.62,-0.62,604075300.58
20260706,701,SPX,7483.24,gex,,,30,7535,640879289.92,-105397919.07,535481370.85,1283,211,3258,83,746277208.99,6.08,0.69,-0.69,535481370.85
20260706,701,SPX,7483.24,gex,,,31,7540,984225946.98,-89070221.45,895155725.53,2210,200,3308,148,1073296168.43,11.05,0.76,-0.76,895155725.53
20260706,701,SPX,7483.24,gex,,,32,7545,597281893.17,-44329515.51,552952377.66,1536,114,3470,44,641611408.68,13.47,0.83,-0.83,552952377.66
20260706,701,SPX,7483.24,gex,,,33,7550,2027218121.12,-610567669.79,1416650451.33,6076,1830,6869,93,2637785790.91,3.32,0.89,-0.89,1416650451.33
20260706,701,SPX,7483.24,gex,,,34,7555,346688536.86,-30823042.84,315865494.02,1226,109,2402,38,377511579.7,11.25,0.96,-0.96,315865494.02
20260706,701,SPX,7483.24,gex,,,35,7560,742634958.88,-39496827.43,703138131.45,3140,167,2949,21,782131786.31,18.8,1.03,-1.03,703138131.45
20260706,701,SPX,7483.24,gex,,,36,7565,469922086.71,-12641872.03,457280214.68,2379,64,1375,24,482563958.74,37.17,1.09,-1.09,457280214.68
20260706,701,SPX,7483.24,gex,,,37,7570,412812072.08,-23015619.68,389796452.4,2529,141,1053,15,435827691.76,17.94,1.16,-1.16,389796452.4
20260706,701,SPX,7483.24,gex,,,38,7575,178458959.65,-22695764.74,155763194.91,1321,168,913,3,201154724.39,7.86,1.23,-1.23,155763194.91
20260706,701,SPX,7483.24,gex,,,39,7580,168797012.58,-11709740.4,157087272.18,1528,106,1074,2,180506752.98,14.42,1.29,-1.29,157087272.18
