Date,Time,Symbol,Source (Live/Historical),Market (Pre-Market/In-Market),is_premarket (DB),source (DB)
2026-06-26,03:42,SPX,Live,Pre-Market,1,gex
2026-06-25,05:28,SPX,Live,Pre-Market,1,gex
2026-06-25,07:51,SPX,Live,Pre-Market,1,gex
2026-06-25,09:30,SPX,Historical,In-Market,0,histgex
2026-06-25,10:00,SPX,Historical,In-Market,0,histgex
2026-06-25,10:01,SPX,Live,In-Market,0,gex
2026-06-25,10:30,SPX,Historical,In-Market,0,histgex
2026-06-25,10:32,SPX,Live,In-Market,0,gex
2026-06-25,10:58,SPX,Live,In-Market,0,gex
2026-06-25,11:00,SPX,Historical,In-Market,0,histgex
2026-06-25,11:30,SPX,Historical,In-Market,0,histgex
2026-06-25,11:35,SPX,Live,In-Market,0,gex
2026-06-25,12:00,SPX,Historical,In-Market,0,histgex
2026-06-25,12:30,SPX,Historical,In-Market,0,histgex
2026-06-25,13:00,SPX,Historical,In-Market,0,histgex
2026-06-25,13:30,SPX,Historical,In-Market,0,histgex
2026-06-25,14:00,SPX,Historical,In-Market,0,histgex
2026-06-25,14:30,SPX,Historical,In-Market,0,histgex
2026-06-25,15:30,SPX,Historical,In-Market,0,histgex
2026-06-24,03:11,SPX,Live,Pre-Market,1,gex
2026-06-24,03:18,SPX,Live,Pre-Market,1,gex
2026-06-24,03:23,SPX,Live,Pre-Market,1,gex
2026-06-24,09:30,SPX,Historical,In-Market,0,histgex
2026-06-24,10:00,SPX,Historical,In-Market,0,histgex
2026-06-24,10:30,SPX,Historical,In-Market,0,histgex
2026-06-24,10:42,SPX,Live,In-Market,0,gex
2026-06-24,11:00,SPX,Historical,In-Market,0,histgex
2026-06-24,11:30,SPX,Historical,In-Market,0,histgex
2026-06-24,12:00,SPX,Historical,In-Market,0,histgex
2026-06-24,12:30,SPX,Historical,In-Market,0,histgex
2026-06-24,13:00,SPX,Historical,In-Market,0,histgex
2026-06-24,13:30,SPX,Historical,In-Market,0,histgex
2026-06-24,14:00,SPX,Historical,In-Market,0,histgex
2026-06-24,14:30,SPX,Historical,In-Market,0,histgex
2026-06-24,15:00,SPX,Historical,In-Market,0,histgex
2026-06-24,15:30,SPX,Historical,In-Market,0,histgex
2026-06-23,08:32,SPX,Live,Pre-Market,1,gex
2026-06-23,09:26,SPX,Live,Pre-Market,1,gex
2026-06-23,09:30,SPX,Historical,In-Market,0,histgex
2026-06-23,09:40,SPX,Live,In-Market,0,gex
2026-06-23,10:00,SPX,Historical,In-Market,0,histgex
2026-06-23,10:20,SPX,Live,In-Market,0,gex
2026-06-23,10:30,SPX,Historical,In-Market,0,histgex
2026-06-23,10:38,SPX,Live,In-Market,0,gex
2026-06-23,11:00,SPX,Historical,In-Market,0,histgex
2026-06-23,11:12,SPX,Live,In-Market,0,gex
2026-06-23,11:30,SPX,Historical,In-Market,0,histgex
2026-06-23,11:59,SPX,Live,In-Market,0,gex
2026-06-23,12:00,SPX,Historical,In-Market,0,histgex
2026-06-23,12:30,SPX,Historical,In-Market,0,histgex
2026-06-23,13:00,SPX,Historical,In-Market,0,histgex
2026-06-23,13:30,SPX,Historical,In-Market,0,histgex
2026-06-23,14:00,SPX,Historical,In-Market,0,histgex
2026-06-23,14:30,SPX,Historical,In-Market,0,histgex
2026-06-23,15:00,SPX,Historical,In-Market,0,histgex
2026-06-23,15:30,SPX,Historical,In-Market,0,histgex
2026-06-22,03:18,SPX,Live,Pre-Market,1,gex
2026-06-22,03:56,SPX,Live,Pre-Market,1,gex
2026-06-22,05:54,SPX,Live,Pre-Market,1,gex
2026-06-22,09:22,SPX,Live,Pre-Market,1,gex
2026-06-22,09:30,SPX,Historical,In-Market,0,histgex
2026-06-22,09:31,SPX,Live,In-Market,0,gex
2026-06-22,10:00,SPX,Historical,In-Market,0,histgex
2026-06-22,10:30,SPX,Historical,In-Market,0,histgex
2026-06-22,11:00,SPX,Historical,In-Market,0,histgex
2026-06-22,11:30,SPX,Historical,In-Market,0,histgex
