"Date","Time","Open","High","Low","Close","Up","Down","Volume"
01/02/2025,08:35,5903.26,5920.53,5903.26,5903.46,25625,63807,0.00
01/02/2025,08:40,5903.11,5903.89,5887.79,5887.79,18480,24525,43005.00
01/02/2025,08:45,5887.82,5896.17,5886.67,5895.37,19134,14948,34082.00
01/02/2025,08:50,5895.50,5909.03,5894.65,5909.03,18032,15635,33667.00
01/02/2025,08:55,5909.11,5922.42,5906.95,5922.11,18750,13589,32339.00
01/02/2025,09:00,5922.32,5928.48,5921.33,5925.23,15865,15889,31754.00
01/02/2025,09:05,5925.79,5929.39,5923.05,5929.38,14987,15468,30455.00
01/02/2025,09:10,5929.21,5935.09,5925.67,5929.52,13746,14107,27853.00
01/02/2025,09:15,5929.48,5933.23,5926.46,5930.98,12944,11304,24248.00
01/02/2025,09:20,5930.61,5932.74,5919.13,5919.13,11518,13995,25513.00
01/02/2025,09:25,5919.45,5920.27,5898.10,5901.38,14337,16843,31180.00
01/02/2025,09:30,5901.24,5908.41,5897.92,5902.54,20817,11838,32655.00
01/02/2025,09:35,5902.20,5903.70,5890.25,5897.81,12837,11747,24584.00
01/02/2025,09:40,5897.45,5904.76,5892.17,5896.02,10280,17167,27447.00
01/02/2025,09:45,5896.17,5899.76,5888.02,5894.27,10325,13510,23835.00
01/02/2025,09:50,5894.13,5904.00,5888.38,5903.55,13018,9967,22985.00
01/02/2025,09:55,5903.69,5910.56,5896.79,5906.80,11311,10528,21839.00
01/02/2025,10:00,5906.88,5907.76,5897.65,5900.08,6825,9114,15939.00
01/02/2025,10:05,5900.03,5901.21,5877.45,5879.99,8340,14241,22581.00
01/02/2025,10:10,5879.97,5885.96,5879.78,5883.29,10547,9039,19586.00
01/02/2025,10:15,5883.30,5890.78,5878.53,5888.47,9376,8513,17889.00
01/02/2025,10:20,5888.64,5893.63,5885.27,5893.46,8863,7498,16361.00
01/02/2025,10:25,5893.49,5899.20,5884.77,5897.71,10943,8217,19160.00
01/02/2025,10:30,5897.70,5899.76,5894.31,5898.77,8017,7290,15307.00
01/02/2025,10:35,5898.76,5900.65,5895.48,5899.53,7985,7660,15645.00
01/02/2025,10:40,5899.47,5906.20,5899.23,5903.45,9092,7990,17082.00
