"Date","Time","Open","High","Low","Close","Up","Down"
04/01/2026,08:35,6556.56,6578.70,6556.56,6575.34,46679,148204
04/01/2026,08:40,6575.72,6585.18,6571.80,6583.74,35649,32370
04/01/2026,08:45,6583.63,6583.63,6558.24,6563.23,28797,33384
04/01/2026,08:50,6563.32,6568.32,6554.29,6556.08,29034,33405
04/01/2026,08:55,6556.28,6571.85,6555.30,6564.53,27900,21983
04/01/2026,09:00,6564.23,6569.89,6561.23,6567.44,22606,19785
04/01/2026,09:05,6568.76,6576.06,6564.85,6571.01,27930,24075
04/01/2026,09:10,6570.90,6576.36,6565.24,6572.05,24418,22220
04/01/2026,09:15,6572.20,6573.06,6564.58,6570.42,21742,22582
04/01/2026,09:20,6570.30,6573.99,6567.14,6571.91,21417,20673
04/01/2026,09:25,6571.66,6578.69,6568.25,6570.99,22780,20476
04/01/2026,09:30,6570.71,6575.21,6568.71,6574.78,20563,16612
04/01/2026,09:35,6574.77,6580.21,6569.47,6569.47,17799,21244
04/01/2026,09:40,6569.97,6584.95,6561.64,6579.48,22667,21043
04/01/2026,09:45,6579.48,6583.94,6571.18,6580.57,16072,15003
04/01/2026,09:50,6580.72,6587.65,6576.35,6587.35,17296,16965
04/01/2026,09:55,6587.11,6592.47,6583.25,6590.29,18386,20751
04/01/2026,10:00,6590.26,6592.13,6587.20,6590.16,16820,16180
04/01/2026,10:05,6590.15,6593.87,6588.56,6590.87,17058,13967
04/01/2026,10:10,6590.85,6595.12,6588.95,6594.80,16993,15746
04/01/2026,10:15,6594.74,6594.84,6590.39,6591.42,15940,13540
04/01/2026,10:20,6591.35,6593.95,6589.98,6593.89,14049,14161
04/01/2026,10:25,6594.09,6594.93,6590.02,6591.06,15541,16243
04/01/2026,10:30,6591.13,6593.51,6588.52,6588.52,14748,17635
04/01/2026,10:35,6588.49,6591.00,6584.66,6589.58,15100,15020
04/01/2026,10:40,6589.46,6597.59,6589.46,6595.47,15948,13275
04/01/2026,10:45,6595.60,6597.68,6591.83,6597.52,14363,12434
04/01/2026,10:50,6597.59,6599.22,6595.45,6597.39,12193,14760
04/01/2026,10:55,6597.34,6600.91,6595.78,6600.10,13007,10586
04/01/2026,11:00,6600.19,6605.87,6599.97,6603.35,16858,13538
04/01/2026,11:05,6603.35,6604.80,6601.56,6603.74,15046,12314
04/01/2026,11:10,6603.85,6606.00,6602.04,6605.13,11787,13424
04/01/2026,11:15,6605.09,6605.34,6600.07,6600.78,11735,13702
04/01/2026,11:20,6600.72,6604.28,6599.53,6603.23,12854,12875
04/01/2026,11:25,6603.27,6603.34,6599.39,6599.39,10057,12668
