"Date","Time","Open","High","Low","Close","Up","Down"
04/01/2026,02:20,24.30,24.33,24.29,24.31,0,0
04/01/2026,02:25,24.32,24.34,24.31,24.31,0,0
04/01/2026,02:30,24.31,24.32,24.26,24.26,0,0
04/01/2026,02:35,24.27,24.28,24.21,24.23,0,0
04/01/2026,02:40,24.23,24.28,24.21,24.27,0,0
04/01/2026,02:45,24.28,24.35,24.24,24.26,0,0
04/01/2026,02:50,24.25,24.33,24.23,24.33,0,0
04/01/2026,02:55,24.34,24.62,24.34,24.54,0,0
04/01/2026,03:00,24.56,24.72,24.56,24.65,0,0
04/01/2026,03:05,24.65,24.82,24.61,24.62,0,0
04/01/2026,03:10,24.66,24.79,24.64,24.79,0,0
04/01/2026,03:15,24.78,24.89,24.78,24.84,0,0
04/01/2026,03:20,24.84,24.91,24.80,24.80,0,0
04/01/2026,03:25,24.80,24.80,24.70,24.73,0,0
04/01/2026,03:30,24.71,24.79,24.65,24.76,0,0
04/01/2026,03:35,24.76,24.76,24.73,24.76,0,0
04/01/2026,03:40,24.77,24.86,24.77,24.78,0,0
04/01/2026,03:45,24.77,24.82,24.74,24.75,0,0
04/01/2026,03:50,24.76,24.83,24.76,24.78,0,0
04/01/2026,03:55,24.77,24.79,24.70,24.70,0,0
04/01/2026,04:00,24.69,24.77,24.63,24.77,0,0
04/01/2026,04:05,24.77,24.84,24.73,24.77,0,0
04/01/2026,04:10,24.74,24.80,24.72,24.72,0,0
04/01/2026,04:15,24.70,24.83,24.70,24.83,0,0
04/01/2026,04:20,24.83,25.00,24.83,25.00,0,0
04/01/2026,04:25,24.99,25.13,24.98,25.11,0,0
04/01/2026,04:30,25.09,25.09,25.01,25.03,0,0
04/01/2026,04:35,25.02,25.02,24.94,24.95,0,0
04/01/2026,04:40,24.94,24.94,24.85,24.89,0,0
04/01/2026,04:45,24.89,24.90,24.86,24.89,0,0
04/01/2026,04:50,24.89,24.89,24.75,24.76,0,0
04/01/2026,04:55,24.75,24.75,24.65,24.70,0,0
04/01/2026,05:00,24.72,24.81,24.68,24.78,0,0
04/01/2026,05:05,24.79,24.82,24.71,24.82,0,0
04/01/2026,05:10,24.84,24.85,24.80,24.85,0,0
04/01/2026,05:15,24.86,24.88,24.75,24.76,0,0
04/01/2026,05:20,24.77,24.80,24.75,24.76,0,0
04/01/2026,05:25,24.76,24.77,24.73,24.75,0,0
04/01/2026,05:30,24.76,24.85,24.76,24.83,0,0
04/01/2026,05:35,24.82,24.84,24.75,24.84,0,0
04/01/2026,05:40,24.85,24.85,24.79,24.79,0,0
04/01/2026,05:45,24.78,24.78,24.71,24.71,0,0
04/01/2026,05:50,24.71,24.71,24.59,24.59,0,0
04/01/2026,05:55,24.57,24.60,24.54,24.60,0,0
04/01/2026,06:00,24.58,24.67,24.52,24.53,0,0
